,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,param_hidden_layer_sizes,param_max_iter,param_random_state,params,split0_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,mean_train_score,std_train_score
412,1.9919698238372803,0.0,0.0022840499877929688,0.0,1.0,"(16,)",10000,0,"{'alpha': 1.0, 'hidden_layer_sizes': (16,), 'max_iter': 10000, 'random_state': 0}",0.25,0.25,0.0,785,0.25333333333333335,0.25333333333333335,0.0
124,2.691153049468994,0.0,0.007481098175048828,0.0,0.001,"(16,)",10000,0,"{'alpha': 0.001, 'hidden_layer_sizes': (16,), 'max_iter': 10000, 'random_state': 0}",0.25,0.25,0.0,785,0.2554166666666667,0.2554166666666667,0.0
308,1.9069271087646484,0.0,0.011403083801269531,0.0,0.1,"(16,)",100,0,"{'alpha': 0.1, 'hidden_layer_sizes': (16,), 'max_iter': 100, 'random_state': 0}",0.25,0.25,0.0,785,0.25583333333333336,0.25583333333333336,0.0
120,2.891401767730713,0.0,0.007796049118041992,0.0,0.001,"(16,)",1000,0,"{'alpha': 0.001, 'hidden_layer_sizes': (16,), 'max_iter': 1000, 'random_state': 0}",0.25,0.25,0.0,785,0.2554166666666667,0.2554166666666667,0.0
116,3.5408990383148193,0.0,0.009320974349975586,0.0,0.001,"(16,)",100,0,"{'alpha': 0.001, 'hidden_layer_sizes': (16,), 'max_iter': 100, 'random_state': 0}",0.25,0.25,0.0,785,0.2554166666666667,0.2554166666666667,0.0
20,2.5447499752044678,0.0,0.0015211105346679688,0.0,0.0001,"(16,)",100,0,"{'alpha': 0.0001, 'hidden_layer_sizes': (16,), 'max_iter': 100, 'random_state': 0}",0.25,0.25,0.0,785,0.2554166666666667,0.2554166666666667,0.0
28,2.4305710792541504,0.0,0.0022919178009033203,0.0,0.0001,"(16,)",10000,0,"{'alpha': 0.0001, 'hidden_layer_sizes': (16,), 'max_iter': 10000, 'random_state': 0}",0.25,0.25,0.0,785,0.2554166666666667,0.2554166666666667,0.0
596,1.866070032119751,0.0,0.0020418167114257812,0.0,100.0,"(16,)",100,0,"{'alpha': 100.0, 'hidden_layer_sizes': (16,), 'max_iter': 100, 'random_state': 0}",0.24666666666666667,0.24666666666666667,0.0,797,0.25062500000000004,0.25062500000000004,0.0
592,0.3570239543914795,0.0,0.007174253463745117,0.0,100.0,"(16,)",10,0,"{'alpha': 100.0, 'hidden_layer_sizes': (16,), 'max_iter': 10, 'random_state': 0}",0.24666666666666667,0.24666666666666667,0.0,797,0.25062500000000004,0.25062500000000004,0.0
600,1.8229360580444336,0.0,0.0022389888763427734,0.0,100.0,"(16,)",1000,0,"{'alpha': 100.0, 'hidden_layer_sizes': (16,), 'max_iter': 1000, 'random_state': 0}",0.24666666666666667,0.24666666666666667,0.0,797,0.25062500000000004,0.25062500000000004,0.0
